surat_nomor,ayat_nomor,audio_01_juhany,audio_02_qasim,audio_03_sudais,audio_04_dossari,audio_05_afasy,audio_06_yasser
2,26,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002026.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002026.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002026.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002026.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002026.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002026.mp3
2,27,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002027.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002027.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002027.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002027.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002027.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002027.mp3
2,28,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002028.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002028.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002028.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002028.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002028.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002028.mp3
2,29,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002029.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002029.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002029.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002029.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002029.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002029.mp3
2,30,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002030.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002030.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002030.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002030.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002030.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002030.mp3
2,31,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002031.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002031.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002031.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002031.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002031.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002031.mp3
2,32,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002032.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002032.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002032.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002032.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002032.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002032.mp3
2,33,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002033.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002033.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002033.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002033.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002033.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002033.mp3
2,34,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002034.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002034.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002034.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002034.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002034.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002034.mp3
2,35,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002035.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002035.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002035.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002035.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002035.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002035.mp3
2,36,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002036.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002036.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002036.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002036.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002036.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002036.mp3
2,37,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002037.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002037.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002037.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002037.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002037.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002037.mp3
2,38,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002038.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002038.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002038.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002038.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002038.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002038.mp3
2,39,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002039.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002039.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002039.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002039.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002039.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002039.mp3
2,40,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002040.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002040.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002040.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002040.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002040.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002040.mp3
2,41,https://cdn.equran.id/audio-partial/Abdullah-Al-Juhany/002041.mp3,https://cdn.equran.id/audio-partial/Abdul-Muhsin-Al-Qasim/002041.mp3,https://cdn.equran.id/audio-partial/Abdurrahman-as-Sudais/002041.mp3,https://cdn.equran.id/audio-partial/Ibrahim-Al-Dossari/002041.mp3,https://cdn.equran.id/audio-partial/Misyari-Rasyid-Al-Afasi/002041.mp3,https://cdn.equran.id/audio-partial/Yasser-Al-Dosari/002041.mp3
